reason,key,text
missing_keypoint_dir,-b44ieHORm4_8-5-rgb_front,Cool.
missing_keypoint_dir,006DXpJ9erw_8-5-rgb_front,Thank you for listening.
missing_keypoint_dir,08JotxFsA4Y_11-5-rgb_front,That's filling in eyebrows!
missing_keypoint_dir,09KiqMdCSKc_22-8-rgb_front,Now I'm ready to put the lid color on.
missing_keypoint_dir,0E4mKYwAhOs_8-8-rgb_front,This is how it goes.
missing_keypoint_dir,0Esq_TAc-1Y_19-5-rgb_front,"This type of thinning shear has the tines cut into the blade on one side and the other side as you can see, is just the blade; it's flat."
missing_keypoint_dir,0Esq_TAc-1Y_20-5-rgb_front,You can use on different parts of the dog.
missing_keypoint_dir,0Esq_TAc-1Y_21-5-rgb_front,"Again, when you're working around the face, working on the feet."
missing_keypoint_dir,0Esq_TAc-1Y_22-5-rgb_front,"You would really have no reason to cut the body hair, but if you are not showing your dog and you do want to trim up some of it then this would give you a more natural look than if you just used the straight shears, which would just cut a blunt end."
missing_keypoint_dir,0Esq_TAc-1Y_23-5-rgb_front,Most dog breeds when you're showing them should not be scissored.
missing_keypoint_dir,0Esq_TAc-1Y_24-5-rgb_front,"It happens, but they shouldn't be."
missing_keypoint_dir,0Esq_TAc-1Y_25-5-rgb_front,"If you've got a dog at home and you just want to trim some of the coat off, then scissors can be very handy to use."
missing_keypoint_dir,0Esq_TAc-1Y_26-5-rgb_front,"Important when you're getting scissors, make sure they're comfortable in your hands, that the blade is a good quality and you can get them sharpened."
missing_keypoint_dir,0Esq_TAc-1Y_27-5-rgb_front,"Depending on how much you use them, you ought to get them sharpened about once a year."
missing_keypoint_dir,0Esq_TAc-1Y_28-5-rgb_front,You don't want to be pulling or breaking the dog's coat when you're using them on the coat.
missing_keypoint_dir,0Gyur-C_KEo_8-5-rgb_front,"And, this is something we're going to discuss later."
missing_keypoint_dir,0H60j0VxTaE_25-5-rgb_front,"You need a pair of socks; they have to come up to your shin, they have to come up to your pants."
missing_keypoint_dir,0H60j0VxTaE_26-5-rgb_front,You need a pair of shoes.
missing_keypoint_dir,0H60j0VxTaE_27-5-rgb_front,You want them to be good and comfortable and to assist you in your athletic endeavors.
missing_keypoint_dir,0H60j0VxTaE_28-5-rgb_front,And I think that might just be enough.
missing_keypoint_dir,0HfN3Ts0FxQ_17-5-rgb_front,Move the seasoning around.
missing_keypoint_dir,0HfN3Ts0FxQ_18-5-rgb_front,You're going to bake for about 5 minutes.
missing_keypoint_dir,0y8f5eLbPho_10-5-rgb_front,Bottoms up.
missing_keypoint_dir,10om04b2LIw_27-8-rgb_front,Ugly old fly.
missing_keypoint_dir,10om04b2LIw_28-8-rgb_front,So there you go.
missing_keypoint_dir,13yrKJ6yOPQ_24-8-rgb_front,Good.
missing_keypoint_dir,13yrKJ6yOPQ_25-8-rgb_front,"So this technique is called our Straight Jab, Kickboxing."
missing_keypoint_dir,15HbVwQP1Qw_21-5-rgb_front,Exactly.
missing_keypoint_dir,1AaO0RFu9j8_28-8-rgb_front,Alright.
missing_keypoint_dir,1DGKsqNpFqs_28-5-rgb_front,"And there, you should be ready to go, nice and warmed up."
missing_keypoint_dir,1KXI9v9nwz4_10-5-rgb_front,Bottoms up!
missing_keypoint_dir,1MvVj9F775U_13-5-rgb_front,"Once both beads are placed securely into the disks, then we should just give it a few minutes to let it dry, because we're going to have to place it on to the wooden sticks, and the beads, if they're not securely fastened onto the disks, then they can pop off very easily."
missing_keypoint_dir,1MvVj9F775U_14-5-rgb_front,"So now I've shown you how to place the beads onto the disks, so that we can place the disks on to the wooden sticks, and they will be the wheels of the wagon."
missing_keypoint_dir,1P6n7Tv8oco_24-8-rgb_front,Thank you guys so much.
missing_keypoint_dir,1PCzfhknC_s_12-8-rgb_front,I'm Jackie Silver with how to determine your skin type.
missing_keypoint_dir,1PCzfhknC_s_13-8-rgb_front,Stay beautiful.
missing_keypoint_dir,1UBFtrCAL1c_12-5-rgb_front,Don't do it.
missing_keypoint_dir,1W4YokNwUtY_16-5-rgb_front,See you soon.
missing_keypoint_dir,1_N0Aq04tRA_21-8-rgb_front,Alright.
missing_keypoint_dir,1_N0Aq04tRA_22-8-rgb_front,Now we're ready to go.
missing_keypoint_dir,1bm6Ur4Z4BQ_13-8-rgb_front,You're looking good.
missing_keypoint_dir,1fQY7Nu35ZY_7-5-rgb_front,"So watch again we do it slowly first twist, twist, twist, twist, twist, your flicking your ankle and then back and if you do it faster."
missing_keypoint_dir,1fZfM65z0zk_23-8-rgb_front,There we go.
missing_keypoint_dir,1g9c_YQZh5E_17-8-rgb_front,It's just so hands on that you really start to notice things.
missing_keypoint_dir,1hB73-7GUFw_28-5-rgb_front,And that's the clown.
missing_keypoint_dir,1ikV8IVFpBw_10-8-rgb_front,That's pretty much what taping is.
missing_keypoint_dir,1lmWJvzyngE_16-8-rgb_front,"And they put everything towards our racing to try to get me where I need to be at, in Nascar some day."
missing_keypoint_dir,1lmWJvzyngE_17-8-rgb_front,So.
missing_keypoint_dir,1mWIOvyqfUI_11-8-rgb_front,Then you have this loop on here that is created from the rope that we just wrapped around and pass the loop from the rope that you were wrapping and then you can tighten it up here.
missing_keypoint_dir,1mWIOvyqfUI_12-8-rgb_front,This gives you a nice little hook or a loop to hook through with a Caribbean or whatnot.
missing_keypoint_dir,1mWIOvyqfUI_13-8-rgb_front,"It is not the best to store because if you store a rope and you are going to put weight on it, it is not the best idea to have because it starts to break down the fibers."
missing_keypoint_dir,1m_A7gr1174_19-8-rgb_front,And a lot of events are really getting pretty big.
missing_keypoint_dir,1m_A7gr1174_20-8-rgb_front,So that's also a cool thing is a lot of media coverage from this sport.
missing_keypoint_dir,1m_A7gr1174_21-8-rgb_front,"So take a look online, you know, there's a lot of freestyle events, national and more local that are probably going to be near you."
missing_keypoint_dir,1m_A7gr1174_22-8-rgb_front,Come check it out and that stuff.
missing_keypoint_dir,1m_A7gr1174_23-8-rgb_front,I can't personally do a lot of the tricks that they can do on there but it's real exciting to see in person.
missing_keypoint_dir,1mdMz4RkRdA_16-8-rgb_front,"Take your wash cloth, gently remove, circular motions."
missing_keypoint_dir,1mdMz4RkRdA_17-8-rgb_front,"Circular motions, remember gentle because the wash cloth itself is a natural exfoliant for skin so it's going to help also with the mask."
missing_keypoint_dir,1mdMz4RkRdA_18-8-rgb_front,"Gentle, circular sweeping motions to take the mask off."
missing_keypoint_dir,1mdMz4RkRdA_19-8-rgb_front,Wow!
missing_keypoint_dir,1mdMz4RkRdA_20-8-rgb_front,That feels amazing.
missing_keypoint_dir,1mdMz4RkRdA_21-8-rgb_front,Okay.
missing_keypoint_dir,1mdMz4RkRdA_22-8-rgb_front,I might have to send J Lo an extra baby gift because she has totally turned me on to the right things.
missing_keypoint_dir,1mdMz4RkRdA_23-8-rgb_front,"Okay, so the twins are going to get something extra for this."
missing_keypoint_dir,1mdMz4RkRdA_24-8-rgb_front,This is good.
missing_keypoint_dir,1mdMz4RkRdA_25-8-rgb_front,"Oh, my."
missing_keypoint_dir,1mdMz4RkRdA_26-8-rgb_front,Oh.
missing_keypoint_dir,1mdMz4RkRdA_27-8-rgb_front,"I'm feeling very saucy and Latino right now, I am."
missing_keypoint_dir,1mdMz4RkRdA_28-8-rgb_front,Okay.
missing_keypoint_dir,1mdMz4RkRdA_29-8-rgb_front,"And, that's how you take off the mask."
missing_keypoint_dir,1mrUTikYY-c_35-11-rgb_front,"And, that is what you are going to do."
missing_keypoint_dir,1mrUTikYY-c_36-11-rgb_front,"You are going to mix it laminating resin, and you are going to fill that in."
missing_keypoint_dir,1mrUTikYY-c_37-11-rgb_front,"And, it is just going to take up the space that was taken away from the surf board."
missing_keypoint_dir,1mrUTikYY-c_38-11-rgb_front,"All ding repairs, the fiber glass that you put on is actually on top of the surface."
missing_keypoint_dir,1mrUTikYY-c_39-11-rgb_front,"Once you get it back to its normal state, that is when you do your structural damage, you know."
missing_keypoint_dir,1mrUTikYY-c_40-11-rgb_front,"And, apply those products."
missing_keypoint_dir,1mrUTikYY-c_41-11-rgb_front,"From our tools and materials, let us get into the real safety part of this process."
missing_keypoint_dir,1rlbYioN5IA_7-8-rgb_front,Relax.
missing_keypoint_dir,1tIp58DN8Nw_12-5-rgb_front,Now we are ready to start with the lipstick.
missing_keypoint_dir,2-hvU0YdLRY_20-8-rgb_front,Do a few of these and before you know it you're going to have a nice strong core.
missing_keypoint_dir,2-hvU0YdLRY_21-8-rgb_front,Nice middle section and same with the back and it's going to make a difference in the way you feel and the way you look so good luck to you.
missing_keypoint_dir,21qQL15lUNY_8-5-rgb_front,And so we need to be where we are always in front.
missing_keypoint_dir,24-pXXQodVQ_6-5-rgb_front,"I'm Robert Todd, and thank you for watching."
missing_keypoint_dir,2QE61mte5v4_19-8-rgb_front,"So the hair piece is going to sweep around like this, the hair will come over the forehead and sweep around."
missing_keypoint_dir,3NxjaQtJT4A_8-5-rgb_front,And that's a half step.
missing_keypoint_dir,48QmLVn7fqQ_24-8-rgb_front,"Fairly simple, straight forward, good, basic outfit."
missing_keypoint_dir,B_ye00IgI4w_16-5-rgb_front,"Okay, that robe is looking pretty good I think."
missing_keypoint_dir,B_ye00IgI4w_17-5-rgb_front,"So, we've pretty much got the whole outfit done now for our king."
missing_keypoint_dir,B_ye00IgI4w_18-5-rgb_front,And what we'll do in the last and final step is kind of go over this from head to toe and add the details that help really sell the picture.
missing_keypoint_dir,B_ye00IgI4w_19-5-rgb_front,"So, if you're all done with the robe, let's go ahead and move on to the last little clip for the king."
missing_keypoint_dir,CH7AviIr0-0_15-8-rgb_front,She has beautiful lashes so that turned out perfect.
missing_keypoint_dir,CH7AviIr0-0_16-8-rgb_front,New wand.
missing_keypoint_dir,CH7AviIr0-0_17-8-rgb_front,We're just going to dip that right in.
missing_keypoint_dir,CH7AviIr0-0_18-8-rgb_front,"Again, the client look down."
missing_keypoint_dir,CH7AviIr0-0_19-8-rgb_front,Perfect.
missing_keypoint_dir,CH7AviIr0-0_20-8-rgb_front,And our last step to the mascara application is going to be the curling of the lashes.
missing_keypoint_dir,CH7AviIr0-0_21-8-rgb_front,"Again, you're going to have that client look down."
missing_keypoint_dir,CH7AviIr0-0_22-8-rgb_front,You notice by doing this after mascara application.
missing_keypoint_dir,CH7AviIr0-0_23-8-rgb_front,"Yes, it is messy, but because we sanitize eyelash curler everytime, it's just fine."
missing_keypoint_dir,CH7AviIr0-0_24-8-rgb_front,What this does is it creates almost an extra hold like using hairspray on your hair and then curling it.
missing_keypoint_dir,CH7AviIr0-0_25-8-rgb_front,Same sort of effect you're going to get with using this after applying mascara.
missing_keypoint_dir,CH7AviIr0-0_26-8-rgb_front,Watch our next segment on appying cheek color.
missing_keypoint_dir,EDX0Bo4EnHc_8-8-rgb_front,Now I can insulate my window.
missing_keypoint_dir,EF3OUyjt6PE_3-3-rgb_front,Thank you for watching.
missing_keypoint_dir,EI6DNHOvn40_5-8-rgb_front,"If you don't want to put it on the wall, on a shelf, on a table, you can also hang it."
missing_keypoint_dir,EI6DNHOvn40_6-8-rgb_front,"You can hang it using string, colorful string, wire, and hang it from the ceiling."
missing_keypoint_dir,bFWnB7lyEh8_14-8-rgb_front,Traveling Step L Shape Stretch.
missing_keypoint_dir,bpyAuV3jNIc_11-8-rgb_front,Okay.
missing_keypoint_dir,bzTy65XT4_o_10-3-rgb_front,"And, there you go."
missing_keypoint_dir,c11S3-7gekg_11-5-rgb_front,What that's going to do is allow us to take our index finger and bring it down to hit that F. That's our F there.
missing_keypoint_dir,c11S3-7gekg_12-5-rgb_front,"When we hit it all together, it makes it a little bit easier to play it that way using this shape."
missing_keypoint_dir,c11S3-7gekg_13-5-rgb_front,That's the G7.
missing_keypoint_dir,dWfNzU-OFZw_15-8-rgb_front,Just glaze that over.
missing_keypoint_dir,dz1K0E0eewQ_27-5-rgb_front,It's a beautiful lid color.
missing_keypoint_dir,dzctDQsw2dk_12-8-rgb_front,Okay.
missing_keypoint_dir,eJyZBuKIkk8_19-1-rgb_front,I'll see you there.
missing_keypoint_dir,f1R7MZSlOOg_11-5-rgb_front,Thank you so much.
missing_keypoint_dir,fK3jvGvFqD4_8-5-rgb_front,They will only be able to access their account.
